Ammonia
35.00
40.66
41.05
32.29
35.59
42.79
40.43
29.18
26.99
28.95
32.41
26.11
22.43
31.40
29.54
18.97
14.16
23.35
26.31
25.86
27.95
38.03
36.18
25.26
29.08
39.54
37.18
24.90
25.42
33.78
33.88
24.31
26.55
32.60
36.11
35.34
38.88
48.15
49.48
36.01
31.15
42.86
40.46
26.87
25.04
31.65
32.39
25.39
29.02
41.30
42.93
32.52
30.90
35.78
39.00
29.07
28.43
41.63
38.27
31.45
32.69
38.81
38.20
31.80
34.51
48.04
47.75
47.59
43.57
50.52
48.79
34.15
37.36
48.84
47.51
35.66
31.11
38.13
40.05
29.90
29.13
40.22
43.18
34.13
35.16
48.26
47.46
36.29
38.18
46.09
43.88
37.81
36.65
37.52
38.31
27.79
27.64
38.74
37.87
29.22
23.73
31.03
35.64
26.52
22.35
29.40
26.98
19.09
19.38
27.97
28.68
21.75
22.29
30.84
29.99
22.51
23.74
36.17
32.60
21.51
25.18
32.76
37.14
32.14
36.60
42.80
42.25
31.04
34.21
48.41
49.69
39.25
37.73
48.40
43.39
35.16
32.40
43.52
42.19
31.30
29.02
37.55
38.96
32.69
34.50
47.65
54.00
42.13
40.80
44.90
47.48
41.13
37.91
48.48
50.78
40.88
42.83
51.58
46.27
39.29
42.84
53.26
48.57
35.96
32.47
44.03
46.93
38.01
40.53
46.38
45.68
31.50
29.53
41.72
40.33
34.42
36.09
53.19
51.65
36.77
36.49
42.45
44.64
34.80
34.41
43.09
44.50
33.20
35.71
47.77
45.47
32.65
31.34
42.84
42.33
34.49
39.83
49.04
45.21
38.36
38.18
49.48
51.23
37.73
41.60
52.66
49.08
39.58
39.90
48.48
49.75
43.58
42.75
54.97
55.93
45.54
45.01
49.55
43.60
34.23
31.74
40.95
38.75
24.01
26.18
34.82
35.08
23.39
23.55
38.37
38.42
30.73
27.34
44.28
48.88
42.58
44.31
52.42
52.01
44.45
41.62
48.62
42.25
30.21
35.68
43.61
41.79
33.07
28.42
40.92
44.12
35.34
40.26
44.76
49.31
36.69
32.68
41.20
46.20
36.02
33.12
38.42
37.76
22.50
19.85
35.00
38.97
29.18
28.37
38.21
44.93
36.15
38.77
46.78
45.79
37.65
37.76
40.79
44.06
32.31
38.91
49.58
48.33
39.32
38.56
45.75
45.29
37.92
36.23
43.24
41.35
34.57
38.97
48.66
49.04
36.75
39.20
49.44
45.86
30.41
27.21
34.98
38.47
33.78
32.58
40.60
40.83
31.28
34.45
41.93
44.09
33.46
36.18
44.24
41.48
37.57
40.51
43.58
41.38
35.36
31.73
43.37
44.54
32.49
32.71
35.67
40.91
30.39
33.27
44.28
47.43
35.88
36.41
46.94
48.37
41.49
39.41
45.98
48.96
32.45
37.42
45.27
44.23
32.26
32.39
45.46
46.73
38.03
38.00
42.36
39.09
28.65
30.66
40.30
42.72
34.37
34.60
50.47
50.14
38.33
43.58
55.32
58.74
47.03
48.76
52.02
52.67
41.43
36.72
48.65
41.85
26.43
28.37
39.75
42.19
34.69
39.15
49.84
47.96
37.44
36.35
46.10
41.70
33.05
32.99
43.02
43.05
25.89
24.10
33.86
33.81
25.71
27.54
41.84
42.09
31.44
27.00
32.69
34.53
28.76
34.01
40.62
39.15
30.46
37.06
46.20
49.73
39.77
42.75
54.06
52.65
38.82
37.63
50.84
51.89
39.90
38.38
41.85
45.50
38.11
37.38
46.75
39.06
28.19
32.88
45.03
45.02
34.98
37.37
45.29
39.26
29.82
31.55
44.26
39.01
29.24
29.59
35.83
37.21
30.23
29.83
45.52
43.51
32.32
31.16
38.09
36.11
22.70
23.35
33.69
26.97
18.47
20.25
32.27
36.15
29.59
28.27
35.74
37.40
26.52
23.68
40.94
39.41
28.09
22.20
35.04
32.07
23.45
27.51
34.34
34.65
30.25
23.36
31.09
28.77
19.83
21.20
28.40
27.10
16.57
17.36
28.78
32.13
26.58
29.39
36.33
36.18
34.19
37.31
44.76
48.53
37.01
34.81
48.01
42.78
27.26
30.86
40.36
40.20
29.60
29.42
37.61
35.47
25.28
25.01
32.52
31.13
15.01
19.06
30.83
30.99
23.10
25.11
32.93
31.54
24.47
26.15
42.16
46.30
38.97
36.29
43.47
39.61
30.99
23.17
31.98
31.36
18.15
22.23
29.09
30.48
30.29
25.92
35.39
34.13
23.41
26.85
39.98
41.80
29.95
37.75
41.17
37.45
28.72
29.61
40.62
44.80
34.46
34.85
42.08
43.14
32.37
31.68
42.64
44.98
28.36
30.10
38.78
41.25
30.87
35.19
42.14
34.74
28.92
26.99
32.05
32.40
22.94
26.61
39.13
39.00
26.95
28.62
38.75
40.08
27.95
27.45
38.74
42.10
35.29
35.51
43.00
43.41
30.29
28.31
42.51
42.97
32.13
34.90
47.77
45.16
33.86
32.32
44.48
46.45
40.46
42.94
46.25
45.97
32.70
31.39
41.26
43.14
30.66
24.12
34.75
42.70
32.32
32.73
47.31
47.85
38.21
39.22
48.55
43.77
29.87
36.04
45.49
44.74
34.50
36.89
53.32
53.06
40.49
39.54
51.30
47.92
40.18
32.70
41.24
42.50
36.56
33.95
38.55
37.41
24.79
25.37
35.31
31.32
25.10
25.62
38.80
32.89
21.05
23.99
31.69
31.53
22.88
24.57
32.58
33.27
22.09
25.41
35.02
35.48
34.15
30.91
44.48
35.56
20.27
18.02
25.18
26.78
19.47
20.26
30.28
32.34
26.10
23.01
32.13
32.20
24.94
23.63
33.50
33.74
22.75
21.79
32.41
32.28
25.05
22.89
32.04
31.65
25.43
23.56
34.41
35.23
31.15
28.51
36.19
33.26
19.42
26.27
32.42
30.23
25.65
21.33
33.97
29.83
25.09
19.57
24.85
24.23
19.22
20.71
30.13
34.66
32.16
34.46
41.64
39.72
26.39
27.55
32.41
34.32
31.41
33.92
41.62
42.54
37.65
42.09
47.37
47.67
36.92
39.15
48.89
40.39
29.81
30.92
36.03
37.67
23.83
22.55
36.82
33.99
26.81
22.37
38.87
37.57
28.60
29.78
41.12
35.95
26.84
25.68
30.55
33.95
24.00
25.83
36.28
35.15
32.06
32.21
36.82
35.44
27.89
30.20
36.42
39.06
24.37
28.86
34.52
33.89
28.19
29.23
41.26
42.49
36.60
39.63
46.80
47.52
32.69
32.75
44.43
43.89
35.34
34.66
47.08
45.64
34.18
36.92
41.51
42.36
29.50
33.88
42.21
41.89
33.44
27.81
35.58
38.65
31.89
33.05
38.20
39.63
32.31
32.72
45.62
42.50
31.22
24.15
36.99
37.74
23.42
19.30
27.25
30.41
20.97
19.95
27.44
25.04
11.24
9.99
18.28
22.00
13.80
13.45
31.53
29.89
24.90
30.77
35.49
35.66
25.04
24.24
35.98
34.01
23.63
24.26
33.21
